z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
1.71824,2.77835E-3,3,20.759792,20.400839,20.382494,20.115919,20.029781,0.070783,0.023292,0.029864,0.032013,0.095812
1.87444,1.35783E-3,3,19.363949,19.497561,19.338179,18.846098,18.904877,0.027551,0.019211,0.016429,0.015715,0.038875
2.02553,2.79177E-3,3,19.49946,19.38518,19.292414,19.169386,18.991074,0.030104,0.01602,0.022351,0.017497,0.038611
2.1315,2.14573E-3,3,19.763388,19.39209,19.291176,19.020992,18.66806,0.035885,0.016308,0.022923,0.018488,0.033885
1.04775,1.4138E-3,3,19.87328,19.597618,19.286991,19.419312,19.497034,0.040965,0.018181,0.017004,0.02145,0.059097
0.549539,1.72327E-3,3,19.426317,19.175421,19.357702,19.155346,19.062908,0.028351,0.014234,0.014311,0.017115,0.042583
2.21601,2.02505E-3,3,19.714878,19.169983,19.081865,19.064316,18.803101,0.032868,0.013337,0.014563,0.014505,0.035056
2.46796,1.15925E-3,3,20.370863,19.633581,19.457935,19.332996,19.049173,0.05371,0.015468,0.018194,0.019226,0.043995
1.48519,1.49767E-3,3,20.577423,20.421207,20.439743,20.232788,20.13463,0.061089,0.024338,0.028947,0.033593,0.100656
1.04683,1.68125E-3,3,19.576105,19.428877,19.140724,19.199553,19.323589,0.03224,0.019379,0.019926,0.021225,0.05571
0.815092,1.1107E-3,3,19.373117,19.127192,19.057083,18.976641,18.85084,0.027921,0.018112,0.015396,0.014766,0.037251
0.535705,1.44552E-3,3,20.488941,20.041054,20.044291,19.630606,19.443897,0.055692,0.019972,0.023688,0.021813,0.056672
1.49303,1.65832E-3,3,19.496111,19.143599,18.943249,18.712933,18.774633,0.03237,0.015982,0.01586,0.015648,0.035269
1.21702,1.15757E-3,3,19.629253,19.50766,19.2006,19.175508,19.08485,0.032543,0.014914,0.014126,0.019966,0.039147
3.71265,6.44076E-4,4,24.536131,22.324181,20.321995,20.186853,20.283792,1.048325,0.089394,0.026176,0.032016,0.110672
1.77191,2.92567E-3,3,19.369801,19.144995,19.083467,18.762798,18.760269,0.028266,0.01445,0.015418,0.012603,0.036993
1.60612,1.76052E-3,3,19.227772,19.063047,18.890547,18.638309,18.60429,0.026353,0.021492,0.026411,0.017645,0.033684
1.07448,1.77479E-3,3,19.431751,19.222166,18.859619,18.807615,18.940536,0.029569,0.017814,0.018344,0.015339,0.040786
1.98866,6.67833E-3,3,20.136768,20.126965,20.182417,19.998867,19.734226,0.047565,0.023098,0.028089,0.027949,0.074547
1.76197,1.89903E-3,3,19.667101,19.395964,19.447643,19.184193,19.076593,0.035288,0.019542,0.019103,0.019618,0.04324
1.9662,1.63431E-3,3,19.818037,19.959499,20.039141,19.781603,19.559509,0.038304,0.022617,0.023132,0.025748,0.064912
3.88278,8.73898E-4,3,24.316782,23.752975,20.922176,20.294193,19.542128,1.133097,0.354626,0.045056,0.034478,0.065908
1.14882,1.61859E-3,3,19.787584,19.705919,19.507727,19.564299,19.493668,0.036848,0.022424,0.022904,0.021714,0.058605
1.60667,2.27047E-3,3,20.408016,20.104357,19.937588,19.51256,19.69334,0.057906,0.021714,0.02598,0.020649,0.072776
0.970231,1.74236E-3,3,20.148901,20.005064,19.821041,19.877802,19.946215,0.050002,0.020353,0.018933,0.025605,0.084384
1.92704,1.99952E-3,3,19.638273,19.209234,18.980694,18.766571,18.694607,0.03309,0.016527,0.018583,0.024706,0.035074
1.06517,1.48215E-3,3,20.251511,20.089266,19.672342,19.611866,19.899872,0.046738,0.025395,0.021839,0.021648,0.157788
1.84401,2.01802E-3,3,19.245136,19.203861,19.174183,18.884052,18.837242,0.028733,0.030843,0.022828,0.020662,0.046453
2.39201,2.03321E-3,4,21.061083,20.32679,20.259321,20.085432,19.930422,0.118946,0.024268,0.030703,0.033437,0.115378
1.13928,2.00661E-3,3,20.15052,20.111475,19.7747,19.781385,19.690083,0.06251,0.027137,0.024257,0.03537,0.091089
1.57758,2.53026E-3,3,20.650467,20.344755,20.280109,20.034893,19.857685,0.088394,0.030367,0.029775,0.03965,0.105791
1.76619,1.11889E-3,3,20.335375,20.014322,19.804375,19.466309,19.290728,0.071305,0.033537,0.026628,0.025788,0.072777
2.36999,1.61747E-3,4,19.761862,19.148455,19.189512,19.087523,18.902992,0.04115,0.02742,0.03171,0.029409,0.055693
1.33783,1.65302E-3,3,20.309933,19.922304,19.716972,19.717493,19.808596,0.06215,0.03064,0.034893,0.03593,0.114893
1.53703,1.97123E-3,3,20.718454,20.448664,20.331503,20.117746,20.202732,0.065007,0.025699,0.026328,0.034738,0.122427
2.00194,2.65942E-3,3,20.261688,20.183968,19.731144,19.320217,19.233746,0.046311,0.023026,0.023447,0.021559,0.05413
1.70937,1.35829E-3,3,20.280613,20.036461,19.956255,19.690254,19.569098,0.045936,0.02171,0.02565,0.025626,0.07017
1.51672,2.18542E-3,3,22.990206,21.747032,20.950838,20.146198,19.899054,0.385226,0.057726,0.042849,0.031798,0.093439
1.93316,0.010682,3,20.689209,20.239861,20.035389,19.978779,19.87991,0.059033,0.02078,0.027014,0.031309,0.08893
2.09902,2.16852E-3,3,20.245144,19.791754,19.569963,19.485733,19.331306,0.043195,0.017252,0.023393,0.025034,0.056176
